name,city,street_address,logo_url,latitude,longitude
Qureshi Ent Medical Centre,Karachi,B-87 Block 1 Gulistan e Jauhar Karachi,https://static.marham.pk/assets/images/default-hospital-image.jpg,24.926083,67.113579
Hashmanis Hospital - M A Jinnah Road,Karachi,"JM-75, Off M A Jinnah Road Jacob Lines Karachi",https://static.marham.pk/assets/hospitals/116/download-2021-08-03t173138-66_450X450.jpg,24.869823,67.034689
Metropolis Health Clinics,Karachi,"Suit No. 555, Block-C 5th Floor The Doctors Plaza  Khayaban e Iqbal Block-9 Clifton Karachi",https://static.marham.pk/assets/hospitals/3940/metropolis-logo-i-95_450X450.png,,
Karachi Medical Complex Consultants Clinic,Karachi,"Rae Ave, Block 16 Gulshan e Iqbal Karachi",https://static.marham.pk/assets/hospitals/2296/1549436934-kmc-98_450X450.png,24.901813,67.081713
Mumtaz Hospital,Karachi,Block K North Nazimabad Karachi,https://static.marham.pk/assets/hospitals/2538/57213677-2409089592476479-8571738705352458240-n-80_450X450.png,24.949717,67.052908
Lyfe Healthcare Hospital,Karachi,Plot # 7&8. Hospital Building Tipu Sultan Rd Adamjee Nagar Society Block A Karachi,https://static.marham.pk/assets/images/default-hospital-image.jpg,24.874812,67.084501
Evercare Hospital,Lahore,Nespak Society Nespak Housing Scheme Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.437225,74.281182
Bahria International Hospital Orchard,Lahore,Central District Bahria Orchard Bahria Town Lahore,https://static.marham.pk/assets/images/default-hospital-image.jpg,31.317022,74.217463
Ramzan Ali Syed Hospital,Lahore,21 Temple Road Mozang Chungi Lahore,https://static.marham.pk/assets/hospitals/2814/1517471979-ralogo-36-170x170-96_450X450.png,31.55812,74.317281
Health City Hospital,Lahore,"91 Midway S, Block H1 Wapda Town Extension Lahore",https://static.marham.pk/assets/hospitals/3882/logo-1-41_450X450.png,31.429857,74.270974
AMT Medical and Dental Centre,Lahore,"430 EE, Ghazi road DHA Phase 4 Lahore",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Pulse Medical Complex,Lahore,36-S Commercial Zone Imperial Block Paragon City Lahore,https://static.marham.pk/assets/hospitals/3799/e7fani4xeamotak-7_450X450.jpg,31.525594,74.453015
Aftab Children Hospital,kharian,"Near A/c Office, Distt Gujrat Main GT Road kharian",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Dr Farrukh Neuropsychiatric Hospital,kharian,"main GT road, near central graveyard Main GT Road kharian",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Faisal Hospital and Orthopedic Center,kharian,Near Muzammil Marriage Hall Dinga Road kharian,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Iqbal Memorial Hospital,kharian,Dinga Road Mandeer kharian,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
CMH,Kharian,Kharian kharian Kharian,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.802818,73.883728
Doctors Hospital Kharian,Kharian,Aziz Pura Main GT Road Kharian,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.808597,73.867016
Bhatti Hospital,Khushab,Jauharabad Road near jamia masjid Rehmat ul aalameen Jauharabad Khushab,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.28994,72.271908
Awan Hospital,Khushab,"Main College Rd, Old Satellite Town Jauharabad Khushab",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
ZAINAB HOSPITAL,Khushab,"Zainab Hospital, Sarwar Shaheed Rd, Wahdat Colony Joharabad Khushab",https://static.marham.pk/assets/images/default-hospital-image.jpg,32.283873,72.28211
ALI Medical Complex,Khushab,opposite civil hospital Civil Hospial Road Khushab,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Robina Shaheen Hospital,Khushab,Civil Lines Jauharabad punjab Khushab,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.291132,72.272455
Iqbal Medical Complex,Khushab,Sarwar Shaheed Rd Jauharabad Khushab,https://static.marham.pk/assets/images/default-hospital-image.jpg,32.283577,72.286804
Abdullah Medical complex(Khanpur),Khanpur,Model Town B near(Dr. Hamid Kamal Nizami) khanpur Khanpur Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Hassan Hospital,Khanpur,Ghana mandi Road ghana mandi road Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Abdual Sattar Hospital,Khanpur,MM24+4JW Link Rd A Block Rahim Yar Khan near tanveer garments Link Road Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,28.651597,70.656333
Al Rehmat Clinic,Khanpur,2nd building to alpine college Jinnah Town Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,28.651134,70.663241
Fayyaz Jatoi Physiotherapy Cente,Khanpur,Near FBR Office Model Town B Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Gillan Clinics,Khanpur,Link Road Model Town B Khanpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Noreen Nishat Welfare Hospital,Khanewal,"8W48+MHM, Khanewal City Khanewal",https://static.marham.pk/assets/images/default-hospital-image.jpg,30.30748,71.91611
Fatima Clinic ( Khanewal),Khanewal,Near to Karachi wala darbar Chak Shahana Road Khanewal,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Citi Care Medical Center,Khanewal,Stadium Road Stadium Road Khanewal,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Mehboob Medical Complex,Khanewal,"Block - 06, Office - 03, Lal Masjid Rd Chowk Khanewal",https://static.marham.pk/assets/images/default-hospital-image.jpg,30.298357,71.916805
Majeed Hospital,Khanewal,Girls college Road College Road Khanewal,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Harris Surgical Hospital,Khanewal,Near MEPCO Office Cinema Road Khanewal,https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Rameja Medical centre,Khairpur,"chandia more Civil road, Civil Line Khairpur",https://static.marham.pk/assets/images/default-hospital-image.jpg,,
Gambat institute of medical sciences,Khairpur,Gambat Khairpur Sindh Khairpur,https://static.marham.pk/assets/images/default-hospital-image.jpg,27.357511,68.518892
